,dteday,season,weekday,atemp,cnt
344,2011-12-11,4,0,0.253154,2743
345,2011-12-12,4,1,0.270196,3310
346,2011-12-13,4,2,0.301138,3523
347,2011-12-14,4,3,0.338362,3740
348,2011-12-15,4,4,0.412237,3709
349,2011-12-16,4,5,0.359825,3577
350,2011-12-17,4,6,0.249371,2739
351,2011-12-18,4,0,0.245579,2431
352,2011-12-19,4,1,0.280933,3403
353,2011-12-20,4,2,0.396454,3750
354,2011-12-21,1,3,0.428017,2660
355,2011-12-22,1,4,0.426121,3068
356,2011-12-23,1,5,0.377513,2209
357,2011-12-24,1,6,0.299242,1011
358,2011-12-25,1,0,0.279961,754
359,2011-12-26,1,1,0.315535,1317
360,2011-12-27,1,2,0.327633,1162
361,2011-12-28,1,3,0.279974,2302
362,2011-12-29,1,4,0.263892,2423
363,2011-12-30,1,5,0.318812,2999
364,2011-12-31,1,6,0.414121,2485
365,2012-01-01,1,0,0.375621,2294
366,2012-01-02,1,1,0.252304,1951
367,2012-01-03,1,2,0.126275,2236
368,2012-01-04,1,3,0.119337,2368
369,2012-01-05,1,4,0.278412,3272
370,2012-01-06,1,5,0.340267,4098
371,2012-01-07,1,6,0.390779,4521
372,2012-01-08,1,0,0.340258,3425
373,2012-01-09,1,1,0.247479,2376
374,2012-01-10,1,2,0.318826,3598
375,2012-01-11,1,3,0.282821,2177
376,2012-01-12,1,4,0.381938,4097
377,2012-01-13,1,5,0.249362,3214
378,2012-01-14,1,6,0.183087,2493
379,2012-01-15,1,0,0.161625,2311
380,2012-01-16,1,1,0.190663,2298
381,2012-01-17,1,2,0.364278,2935
382,2012-01-18,1,3,0.275254,3376
383,2012-01-19,1,4,0.190038,3292
384,2012-01-20,1,5,0.220958,3163
385,2012-01-21,1,6,0.174875,1301
386,2012-01-22,1,0,0.16225,1977
387,2012-01-23,1,1,0.243058,2432
388,2012-01-24,1,2,0.349108,4339
389,2012-01-25,1,3,0.294821,4270
390,2012-01-26,1,4,0.35605,4075
391,2012-01-27,1,5,0.415383,3456
392,2012-01-28,1,6,0.326379,4023
393,2012-01-29,1,0,0.272721,3243
394,2012-01-30,1,1,0.262625,3624
395,2012-01-31,1,2,0.381317,4509
396,2012-02-01,1,3,0.466538,4579
397,2012-02-02,1,4,0.398971,3761
398,2012-02-03,1,5,0.309346,4151
399,2012-02-04,1,6,0.272725,2832
400,2012-02-05,1,0,0.264521,2947
401,2012-02-06,1,1,0.296426,3784
402,2012-02-07,1,2,0.361104,4375
403,2012-02-08,1,3,0.266421,2802
404,2012-02-09,1,4,0.261988,3830
405,2012-02-10,1,5,0.293558,3831
406,2012-02-11,1,6,0.210867,2169
407,2012-02-12,1,0,0.101658,1529
408,2012-02-13,1,1,0.227913,3422
409,2012-02-14,1,2,0.333946,3922
410,2012-02-15,1,3,0.351629,4169
411,2012-02-16,1,4,0.330162,3005
412,2012-02-17,1,5,0.351629,4154
413,2012-02-18,1,6,0.355425,4318
414,2012-02-19,1,0,0.265788,2689
415,2012-02-20,1,1,0.273391,3129
416,2012-02-21,1,2,0.295113,3777
417,2012-02-22,1,3,0.392667,4773
418,2012-02-23,1,4,0.444446,5062
419,2012-02-24,1,5,0.410971,3487
420,2012-02-25,1,6,0.255675,2732
421,2012-02-26,1,0,0.268308,3389
422,2012-02-27,1,1,0.357954,4322
423,2012-02-28,1,2,0.353525,4363
424,2012-02-29,1,3,0.34847,1834
425,2012-03-01,1,4,0.475371,4990
426,2012-03-02,1,5,0.359842,3194
427,2012-03-03,1,6,0.413492,4066
428,2012-03-04,1,0,0.303021,3423
429,2012-03-05,1,1,0.241171,3333
430,2012-03-06,1,2,0.255042,3956
431,2012-03-07,1,3,0.3851,4916
432,2012-03-08,1,4,0.524604,5382
433,2012-03-09,1,5,0.397083,4569
434,2012-03-10,1,6,0.277767,4118
435,2012-03-11,1,0,0.35967,4911
436,2012-03-12,1,1,0.459592,5298
437,2012-03-13,1,2,0.542929,5847
438,2012-03-14,1,3,0.548617,6312
439,2012-03-15,1,4,0.532825,6192
440,2012-03-16,1,5,0.436229,4378
443,2012-03-19,1,1,0.532821,6153
444,2012-03-20,1,2,0.538533,6093
445,2012-03-21,2,3,0.513258,6230
446,2012-03-22,2,4,0.531567,6871
448,2012-03-24,2,6,0.486733,3372
449,2012-03-25,2,0,0.437488,4996
450,2012-03-26,2,1,0.43875,5558
451,2012-03-27,2,2,0.315654,5102
452,2012-03-28,2,3,0.47095,5698
453,2012-03-29,2,4,0.482304,6133
454,2012-03-30,2,5,0.375621,5459
457,2012-04-02,2,1,0.427513,5936
458,2012-04-03,2,2,0.461483,6772
459,2012-04-04,2,3,0.53345,6436
460,2012-04-05,2,4,0.431163,6457
461,2012-04-06,2,5,0.390767,6460
464,2012-04-09,2,1,0.476638,5585
465,2012-04-10,2,2,0.436233,5918
466,2012-04-11,2,3,0.337274,4862
467,2012-04-12,2,4,0.387604,5409
468,2012-04-13,2,5,0.431808,6398
471,2012-04-16,2,1,0.614925,6370
472,2012-04-17,2,2,0.598487,6691
473,2012-04-18,2,3,0.457038,4367
474,2012-04-19,2,4,0.493046,6565
475,2012-04-20,2,5,0.515775,7290
477,2012-04-22,2,0,0.389504,1027
478,2012-04-23,2,1,0.301125,3214
479,2012-04-24,2,2,0.405283,5633
480,2012-04-25,2,3,0.470317,6196
481,2012-04-26,2,4,0.483583,5026
482,2012-04-27,2,5,0.452637,6233
483,2012-04-28,2,6,0.377504,4220
485,2012-04-30,2,1,0.457696,5572
486,2012-05-01,2,2,0.577021,5740
487,2012-05-02,2,3,0.537896,6169
488,2012-05-03,2,4,0.537242,6421
489,2012-05-04,2,5,0.590917,6296
492,2012-05-07,2,1,0.527142,6273
493,2012-05-08,2,2,0.557471,5728
494,2012-05-09,2,3,0.553025,4717
495,2012-05-10,2,4,0.491783,6572
496,2012-05-11,2,5,0.520833,7030
499,2012-05-14,2,1,0.5499,2843
500,2012-05-15,2,2,0.576404,5115
501,2012-05-16,2,3,0.595975,7424
502,2012-05-17,2,4,0.572613,7384
503,2012-05-18,2,5,0.551121,7639
506,2012-05-21,2,1,0.565667,4359
507,2012-05-22,2,2,0.580825,6073
508,2012-05-23,2,3,0.584612,5260
509,2012-05-24,2,4,0.6067,6770
510,2012-05-25,2,5,0.627529,6734
514,2012-05-29,2,2,0.672992,5743
515,2012-05-30,2,3,0.611129,6855
516,2012-05-31,2,4,0.631329,7338
517,2012-06-01,2,5,0.607962,4127
520,2012-06-04,2,1,0.578283,6998
521,2012-06-05,2,2,0.525892,7001
522,2012-06-06,2,3,0.542292,7055
523,2012-06-07,2,4,0.569442,7494
524,2012-06-08,2,5,0.597862,7736
527,2012-06-11,2,1,0.659721,6664
528,2012-06-12,2,2,0.597875,4972
529,2012-06-13,2,3,0.611117,7421
530,2012-06-14,2,4,0.624383,7363
531,2012-06-15,2,5,0.599754,7665
534,2012-06-18,2,1,0.544842,5099
535,2012-06-19,2,2,0.654692,6825
536,2012-06-20,2,3,0.720975,6211
537,2012-06-21,3,4,0.752542,5905
538,2012-06-22,3,5,0.724121,5823
541,2012-06-25,3,1,0.654042,6779
542,2012-06-26,3,2,0.594704,7442
543,2012-06-27,3,3,0.640792,7335
544,2012-06-28,3,4,0.675512,6879
545,2012-06-29,3,5,0.786613,5463
546,2012-06-30,3,6,0.687508,5687
547,2012-07-01,3,0,0.750629,5531
548,2012-07-02,3,1,0.702038,6227
549,2012-07-03,3,2,0.70265,6660
551,2012-07-05,3,4,0.761367,6241
552,2012-07-06,3,5,0.752533,6207
553,2012-07-07,3,6,0.804913,4840
554,2012-07-08,3,0,0.790396,4672
555,2012-07-09,3,1,0.654054,6569
556,2012-07-10,3,2,0.664796,6290
557,2012-07-11,3,3,0.650271,7264
558,2012-07-12,3,4,0.654683,7446
559,2012-07-13,3,5,0.667933,7499
561,2012-07-15,3,0,0.705196,6031
562,2012-07-16,3,1,0.724125,6830
563,2012-07-17,3,2,0.755683,6786
564,2012-07-18,3,3,0.745583,5713
565,2012-07-19,3,4,0.714642,6591
566,2012-07-20,3,5,0.613025,5870
567,2012-07-21,3,6,0.549912,4459
569,2012-07-23,3,1,0.690017,6966
570,2012-07-24,3,2,0.70645,7592
571,2012-07-25,3,3,0.654054,8173
572,2012-07-26,3,4,0.739263,6861
573,2012-07-27,3,5,0.734217,6904
576,2012-07-30,3,1,0.684987,7105
577,2012-07-31,3,2,0.662896,7216
578,2012-08-01,3,3,0.667308,7580
579,2012-08-02,3,4,0.707088,7261
580,2012-08-03,3,5,0.722867,7175
582,2012-08-05,3,0,0.731079,5464
583,2012-08-06,3,1,0.710246,7013
584,2012-08-07,3,2,0.697621,7273
585,2012-08-08,3,3,0.707717,7534
586,2012-08-09,3,4,0.699508,7286
587,2012-08-10,3,5,0.667942,5786
590,2012-08-13,3,1,0.662254,6883
591,2012-08-14,3,2,0.676779,6784
592,2012-08-15,3,3,0.654037,7347
593,2012-08-16,3,4,0.654688,7605
594,2012-08-17,3,5,0.2424,7148
596,2012-08-19,3,0,0.603554,4549
597,2012-08-20,3,1,0.595967,6530
598,2012-08-21,3,2,0.601025,7006
599,2012-08-22,3,3,0.621854,7375
600,2012-08-23,3,4,0.637008,7765
601,2012-08-24,3,5,0.6471,7582
602,2012-08-25,3,6,0.618696,6053
603,2012-08-26,3,0,0.595996,5255
604,2012-08-27,3,1,0.654688,6917
605,2012-08-28,3,2,0.66605,7040
606,2012-08-29,3,3,0.635733,7697
607,2012-08-30,3,4,0.652779,7713
608,2012-08-31,3,5,0.6894,7350
611,2012-09-03,3,1,0.661629,6034
612,2012-09-04,3,2,0.686888,6864
613,2012-09-05,3,3,0.708983,7112
614,2012-09-06,3,4,0.655329,6203
615,2012-09-07,3,5,0.657204,7504
616,2012-09-08,3,6,0.611121,5976
618,2012-09-10,3,1,0.565654,7525
619,2012-09-11,3,2,0.554292,7767
620,2012-09-12,3,3,0.570075,7870
621,2012-09-13,3,4,0.579558,7804
622,2012-09-14,3,5,0.594083,8009
625,2012-09-17,3,1,0.55305,6869
626,2012-09-18,3,2,0.565067,4073
627,2012-09-19,3,3,0.540404,7591
628,2012-09-20,3,4,0.532192,7720
629,2012-09-21,3,5,0.571971,8167
632,2012-09-24,4,1,0.502513,7436
633,2012-09-25,4,2,0.544179,7538
634,2012-09-26,4,3,0.596613,7733
635,2012-09-27,4,4,0.607975,7393
636,2012-09-28,4,5,0.585863,7415
639,2012-10-01,4,1,0.512,6778
640,2012-10-02,4,2,0.542333,4639
641,2012-10-03,4,3,0.599133,7572
642,2012-10-04,4,4,0.607975,7328
643,2012-10-05,4,5,0.580187,8156
645,2012-10-07,4,0,0.419813,3510
646,2012-10-08,4,1,0.387608,5478
647,2012-10-09,4,2,0.438112,6392
648,2012-10-10,4,3,0.503142,7691
649,2012-10-11,4,4,0.431167,7570
650,2012-10-12,4,5,0.433071,7282
653,2012-10-15,4,1,0.53915,5875
654,2012-10-16,4,2,0.460846,7534
655,2012-10-17,4,3,0.450108,7461
656,2012-10-18,4,4,0.512625,7509
657,2012-10-19,4,5,0.537896,5424
660,2012-10-22,4,1,0.482942,7058
661,2012-10-23,4,2,0.530304,7466
662,2012-10-24,4,3,0.558721,7693
663,2012-10-25,4,4,0.529688,7359
664,2012-10-26,4,5,0.52275,7444
666,2012-10-28,4,0,0.467771,4459
667,2012-10-29,4,1,0.4394,22
668,2012-10-30,4,2,0.309909,1096
669,2012-10-31,4,3,0.3611,5566
670,2012-11-01,4,4,0.369942,5986
671,2012-11-02,4,5,0.356042,5847
672,2012-11-03,4,6,0.323846,5138
673,2012-11-04,4,0,0.329538,5107
674,2012-11-05,4,1,0.308075,5259
675,2012-11-06,4,2,0.281567,5686
676,2012-11-07,4,3,0.274621,5035
677,2012-11-08,4,4,0.341891,5315
678,2012-11-09,4,5,0.355413,5992
681,2012-11-12,4,1,0.475383,6269
682,2012-11-13,4,2,0.323225,4094
683,2012-11-14,4,3,0.281563,5495
684,2012-11-15,4,4,0.324492,5445
685,2012-11-16,4,5,0.347204,5698
686,2012-11-17,4,6,0.326383,5629
687,2012-11-18,4,0,0.337746,4669
688,2012-11-19,4,1,0.375621,5499
689,2012-11-20,4,2,0.380667,5634
690,2012-11-21,4,3,0.364892,5146
691,2012-11-22,4,4,0.350371,2425
692,2012-11-23,4,5,0.378779,3910
693,2012-11-24,4,6,0.248742,2277
694,2012-11-25,4,0,0.257583,2424
695,2012-11-26,4,1,0.339004,5087
696,2012-11-27,4,2,0.281558,3959
697,2012-11-28,4,3,0.289762,5260
698,2012-11-29,4,4,0.298422,5323
699,2012-11-30,4,5,0.323867,5668
700,2012-12-01,4,6,0.316904,5191
701,2012-12-02,4,0,0.359208,4649
702,2012-12-03,4,1,0.455796,6234
703,2012-12-04,4,2,0.469054,6606
704,2012-12-05,4,3,0.428012,5729
705,2012-12-06,4,4,0.258204,5375
706,2012-12-07,4,5,0.321958,5008
707,2012-12-08,4,6,0.389508,5582
708,2012-12-09,4,0,0.390146,3228
709,2012-12-10,4,1,0.435575,5170
710,2012-12-11,4,2,0.338363,5501
711,2012-12-12,4,3,0.297338,5319
712,2012-12-13,4,4,0.294188,5532
713,2012-12-14,4,5,0.294192,5611
714,2012-12-15,4,6,0.338383,5047
715,2012-12-16,4,0,0.369938,3786
716,2012-12-17,4,1,0.4015,4585
717,2012-12-18,4,2,0.409708,5557
718,2012-12-19,4,3,0.342162,5267
719,2012-12-20,4,4,0.335217,4128
720,2012-12-21,1,5,0.301767,3623
721,2012-12-22,1,6,0.236113,1749
722,2012-12-23,1,0,0.259471,1787
723,2012-12-24,1,1,0.2589,920
724,2012-12-25,1,2,0.294465,1013
725,2012-12-26,1,3,0.220333,441
726,2012-12-27,1,4,0.226642,2114
727,2012-12-28,1,5,0.255046,3095
728,2012-12-29,1,6,0.2424,1341
729,2012-12-30,1,0,0.2317,1796
730,2012-12-31,1,1,0.223487,2729
